artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
meshuggah;6;2025;07/06/2025 19:00;232;Netherlands;Maastricht;(50.86, 5.68);648.6;56;{'nu', 'metal', 'groove', 'alternative', 'swedish', 'djent', 'technical', 'progressive', 'thrash'}
periphery;2;2025;13/02/2025 19:00;118;United Kingdom;London;(51.59, -0.13);963.7;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;15/02/2025 19:00;120;Germany;Berlin;(52.48, 13.39);830.3;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;16/02/2025 19:00;121;Netherlands;Tilburg;(51.56, 5.09);736.6;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;18/02/2025 19:00;123;France;Paris;(48.87, 2.33);640.9;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;19/02/2025 19:00;124;Germany;Köln;(50.97, 7.02);626.7;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;20/02/2025 19:00;125;Germany;Frankfurt;(50.12, 8.75);511.6;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;22/02/2025 19:00;127;Germany;Munich;(48.13, 11.61);341.3;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
periphery;2;2025;23/02/2025 19:00;128;Germany;Hamburg;(53.55, 9.96);893.5;54;{'metal', 'melodic', 'metalcore', 'djent', 'progressive'}
sam gellaitry;10;2024;19/10/2024 22:00;2;United Kingdom;London;(51.55, -0.08);958.2;54;{'electronic', 'vapor', 'future', 'scottish', 'bass', 'twitch'}
leprous;1;2025;16/01/2025 18:30;90;Spain;Madrid;(40.42, -3.72);1197.2;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;1;2025;17/01/2025 18:30;91;France;Paris;(48.88, 2.3);643.3;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;1;2025;31/01/2025 19:00;105;United Kingdom;London;(51.55, -0.14);961.3;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;2;2025;01/02/2025 18:30;106;Poland;Warsaw;(52.22, 20.93);1133.4;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;2;2025;07/02/2025 18:30;112;Netherlands;Tilburg;(51.56, 5.09);736.6;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;2;2025;08/02/2025 20:00;113;Germany;Köln;(50.97, 7.01);626.9;52;{'prog', 'progressive', 'norwegian', 'metal'}
leprous;2;2025;15/02/2025 19:00;120;Norway;Oslo;(59.92, 10.75);1604.5;52;{'prog', 'progressive', 'norwegian', 'metal'}
chelsea wolfe;10;2024;25/10/2024 19:30;7;Ireland;Dublin;(53.34, -6.26);1415.1;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;10;2024;26/10/2024 19:00;8;United Kingdom;Belfast;(54.59, -5.93);1475.4;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;10;2024;27/10/2024 19:00;9;United Kingdom;Glasgow;(55.87, -4.29);1489.7;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;10;2024;28/10/2024 19:30;10;United Kingdom;Manchester;(53.46, -2.23);1208.4;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;10;2024;29/10/2024 19:00;11;United Kingdom;London;(51.53, -0.14);959.9;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;10;2024;31/10/2024 19:30;13;United Kingdom;Leeds;(53.8, -1.55);1202.2;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;01/11/2024 18:30;14;United Kingdom;Brighton;(50.82, -0.14);910.7;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;02/11/2024 18:00;15;United Kingdom;Bristol;(51.45, -2.58);1091.1;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;05/11/2024 20:30;19;France;Vallières-lès-metz;(49.13, 6.22);460.3;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;06/11/2024 20:00;19;Switzerland;Zürich;(47.34, 8.54);208.1;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;08/11/2024 19:00;21;Spain;Barcelona;(41.4, 2.19);731.0;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;09/11/2024 20:00;22;Spain;City Center;(40.42, -3.7);1195.8;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;12/11/2024 19:00;25;France;St Jean De Vedas;(43.57, 3.85);479.6;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
chelsea wolfe;11;2024;13/11/2024 20:00;26;Italy;Segrate;(45.46, 9.29);9.1;51;{'doom', 'sacramento', 'dark', 'indie', 'doomgaze', 'pop', 'gaian'}
animals as leaders;2;2025;25/02/2025 19:00;130;France;Paris;(48.88, 2.33);641.5;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;2;2025;26/02/2025 19:00;131;Belgium;Bruxelles;(50.88, 4.35);696.4;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;2;2025;27/02/2025 19:00;132;Germany;Hamburg;(53.55, 9.96);893.5;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;2;2025;28/02/2025 19:00;133;Denmark;Copenhagen;(55.66, 12.61);1151.6;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
