name;startDate;url;artist;addressCountry;addressLocality;streetAddress;postalCode;coordinates
Kamasi Washington @ Coliseu dos Recreios;2025-03-26T20:00:00;https://www.bandsintown.com/e/105423807-kamasi-washington-at-coliseu-dos-recreios?came_from=209;Kamasi Washington;Portugal;Lisboa;Rua das Portas de Santo Antao 96;1150-269;(38.71648434, -9.14069124)
Kamasi Washington @ Le Rocher de Palmer;2025-03-28T20:30:00;https://www.bandsintown.com/e/105423823-kamasi-washington-at-le-rocher-de-palmer?came_from=209;Kamasi Washington;France;Cenon;1 Rue Aristide Briand;33152;(44.861115, -0.52383)
Kamasi Washington @ X-TRA;2025-03-30T21:00:00;https://www.bandsintown.com/e/105423869-kamasi-washington-at-x-tra?came_from=209;Kamasi Washington;Switzerland;Zurich;Limmatstrasse 118;8005;(47.38406080000001, 8.533056100000001)
Kamasi Washington @ Les Docks;2025-03-31T19:00:00;https://www.bandsintown.com/e/105423878-kamasi-washington-at-les-docks?came_from=209;Kamasi Washington;Switzerland;Lausanne;Avenue de Sévelin 34;1004;(46.522407, 6.619251999999999)
Kamasi Washington @ Salle Pleyel;2025-04-01T20:00:00;https://www.bandsintown.com/e/105423826-kamasi-washington-at-salle-pleyel?came_from=209;Kamasi Washington;France;Paris;252 Rue du Faubourg Saint-Honoré;75008;(48.8770037, 2.3010508)
Kamasi Washington @ The Great Hall, Cardiff Uni Students Union;2025-04-03T20:00:00;https://www.bandsintown.com/e/105423843-kamasi-washington-at-the-great-hall-cardiff-uni-students-union?came_from=209;Kamasi Washington;United Kingdom;Cardiff;Senghennydd Road 1st floor;CF10;(51.4886899, -3.1774087)
Kamasi Washington @ Albert Hall;2025-04-04T20:00:00;https://www.bandsintown.com/e/105423834-kamasi-washington-at-albert-hall?came_from=209;Kamasi Washington;United Kingdom;Manchester;27 Peter St.;M2 5QR;(53.4782808, -2.2479352)
Kamasi Washington @ The Glasshouse;2025-04-05T19:30:00;https://www.bandsintown.com/e/105423847-kamasi-washington-at-the-glasshouse?came_from=209;Kamasi Washington;United Kingdom;Gateshead;St Mary's Square;NE8 2JR;(54.9677847, -1.602003)
Kamasi Washington @ Barrowland Ballroom;2025-04-06T20:00:00;https://www.bandsintown.com/e/105423858-kamasi-washington-at-barrowland-ballroom?came_from=209;Kamasi Washington;United Kingdom;Glasgow;244 Gallowgate;G4 0TT;(55.855355, -4.236961)
Kamasi Washington @ 3Olympia Theatre;2025-04-08T20:00:00;https://www.bandsintown.com/e/105423865-kamasi-washington-at-3olympia-theatre?came_from=209;Kamasi Washington;Ireland;Dublin;72 Dame St;D02 K135;(53.3442915, -6.2660677)
Kamasi Washington @ Cork Opera House;2025-04-09T19:00:00;https://www.bandsintown.com/e/105592651-kamasi-washington-at-cork-opera-house?came_from=209;Kamasi Washington;Ireland;Cork;Emmet Place;-;(51.9002594, -8.472874100000013)
Kamasi Washington @ Project House;2025-04-11T19:00:00;https://www.bandsintown.com/e/105423851-kamasi-washington-at-project-house?came_from=209;Kamasi Washington;United Kingdom;Leeds;Armley Rd;LS12 2DR;(53.7956309, -1.5662789)
Kamasi Washington @ O2 Academy Brixton;2025-04-13T20:00:00;https://www.bandsintown.com/e/105423837-kamasi-washington-at-o2-academy-brixton?came_from=209;Kamasi Washington;United Kingdom;London;211 Stockwell Road;SW9 9SL;(51.4656337, -0.1149728)
Kamasi Washington @ Chalk;2025-04-14T19:00:00;https://www.bandsintown.com/e/105556588-kamasi-washington-at-chalk?came_from=209;Kamasi Washington;United Kingdom;Brighton;10 Pool Valley;BN1 1NJ;(50.8200045, -0.1384128)
Kamasi Washington @ BOZAR;2025-04-15T20:00:00;https://www.bandsintown.com/e/105423867-kamasi-washington-at-bozar?came_from=209;Kamasi Washington;Belgium;Bruxelles;Rue Ravenstein 23;1000;(50.84408759999999, 4.359579)
