BiT_url;id;name;genres;followers;popularity;genres_set
https://www.bandsintown.com/a/317448-mono;53LVoipNTQ4lvUSJ61XKU3;mono;['downtempo', 'instrumental post-rock', 'japanese post-rock', 'post-rock'];187810;39;{'post-rock', 'downtempo', 'japanese', 'instrumental'}
https://www.bandsintown.com/a/3361-cult-of-luna;7E7fJJpdVgr1F3pfAfRtHe;cult of luna;['atmospheric post-metal', 'atmospheric sludge', 'drone metal', 'post-metal', 'progressive sludge', 'slayer', 'sludge metal', 'stoner metal', 'swedish doom metal', 'swedish progressive metal'];135996;39;{'doom', 'sludge', 'post-metal', 'slayer', 'atmospheric', 'drone', 'stoner', 'metal', 'swedish', 'progressive'}
https://www.bandsintown.com/a/1942467-slow-magic;3htNAy3vYWWYV8RZFeyRMT;slow magic;['chillwave', 'gauze pop', 'vapor twitch'];125458;39;{'chillwave', 'gauze', 'pop', 'vapor', 'twitch'}
https://www.bandsintown.com/a/405207-oranssi-pazuzu;3XFQRe2FsSOjrODygK4caW;oranssi pazuzu;['atmospheric black metal', 'avant-garde metal', 'blackgaze', 'cosmic black metal', 'drone metal', 'finnish black metal', 'finnish psychedelic rock', 'post-black metal', 'post-metal', 'sci-fi metal', 'voidgaze'];62067;39;{'post-black', 'avant-garde', 'post-metal', 'sci-fi', 'blackgaze', 'rock', 'atmospheric', 'drone', 'voidgaze', 'black', 'metal', 'finnish', 'psychedelic', 'cosmic'}
https://www.bandsintown.com/a/27419-1349;150xbiJGnTy1tSBZ9EFKnT;1349;['black metal', 'death metal', 'norwegian black metal', 'norwegian metal', 'technical black metal'];137797;38;{'technical', 'norwegian', 'death', 'black', 'metal'}
https://www.bandsintown.com/a/4472722-blank-banshee;1oR9pQhucVTJyi5lH2Y2iT;blank banshee;['future funk', 'vaportrap', 'vaporwave'];114563;38;{'vaportrap', 'funk', 'future', 'vaporwave'}
https://www.bandsintown.com/a/9768-textures;6v9XKyEf4HKmUMr3D6weIO;textures;['djent', 'dutch metal', 'progressive metal'];73278;38;{'metal', 'dutch', 'progressive', 'djent'}
https://www.bandsintown.com/a/7258786-mononeon;3IuEuLez19teZSN32Pf70j;mononeon;['funktronica', 'microtonal'];70921;38;{'microtonal', 'funktronica'}
https://www.bandsintown.com/a/10081758-the-comet-is-coming;0Z5FMozvx15nUSUA6a9kkU;the comet is coming;['british jazz', 'chamber psych'];173605;37;{'chamber', 'jazz', 'british', 'psych'}
https://www.bandsintown.com/a/5421-tortoise;3WggbHDpj4rPKbL97zG5MQ;tortoise;['chicago indie', 'double drumming', 'experimental', 'experimental rock', 'post-rock'];141532;37;{'double', 'drumming', 'post-rock', 'indie', 'rock', 'chicago', 'experimental'}
https://www.bandsintown.com/a/2792-venetian-snares;7eKIP3IoPoUAZgZuvMM6hf;venetian snares;['braindance', 'breakcore', 'deep idm', 'drill and bass', 'hardcore techno', 'intelligent dance music'];124298;37;{'music', 'bass', 'breakcore', 'and', 'hardcore', 'braindance', 'dance', 'deep', 'intelligent', 'drill', 'techno', 'idm'}
https://www.bandsintown.com/a/12109-rolo-tomassi;3uHCTHxtg3IVAvhyrYsZvI;rolo tomassi;['chaotic hardcore', 'cybergrind', 'mathcore', 'nintendocore', 'uk metalcore', 'uk post-hardcore'];64167;37;{'nintendocore', 'metalcore', 'mathcore', 'post-hardcore', 'chaotic', 'hardcore', 'uk', 'cybergrind'}
https://www.bandsintown.com/a/4400-tomahawk;6yyZgcrQ10gThrJxzqogiP;tomahawk;['grunge', 'industrial rock'];133141;36;{'industrial', 'rock', 'grunge'}
https://www.bandsintown.com/a/316283-the-aristocrats;1V4jsLjkic1Mxvdke86Qth;the aristocrats;['instrumental rock', 'progressive jazz fusion', 'progressive metal', 'traditional funk'];120447;36;{'jazz', 'traditional', 'rock', 'funk', 'instrumental', 'metal', 'fusion', 'progressive'}
https://www.bandsintown.com/a/2236188-chassol;1nw8iwDkSSHqn8S343ODcp;chassol;[];51685;36;set()
https://www.bandsintown.com/a/1059047-the-algorithm;14u4KXVp0iXQil79EpxXGc;the algorithm;['cyberpunk', 'djent', 'electronic djent', 'future rock', 'instrumental djent', 'instrumental rock'];100928;35;{'rock', 'cyberpunk', 'instrumental', 'electronic', 'djent', 'future'}
