artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
kamasi washington;4;2025;14/04/2025 19:00;177;United Kingdom;Brighton;(50.82, -0.14);910.7;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;15/04/2025 20:00;178;Belgium;Bruxelles;(50.84, 4.36);692.3;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;17/04/2025 20:00;180;Germany;Köln;(50.97, 7.01);626.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;19/04/2025 20:00;182;Germany;Frankfurt Am Main;(50.14, 8.74);513.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;20/04/2025 20:00;183;Netherlands;Amsterdam;(52.36, 4.88);823.3;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;22/04/2025 20:00;185;Italy;Milan;(45.49, 9.18);5.9;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;23/04/2025 21:00;186;Italy;Roma;(41.93, 12.48);478.0;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;24/04/2025 20:00;187;Italy;Bologna;(44.52, 11.37);202.6;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;26/04/2025 20:00;189;Netherlands;Da Groningen;(53.21, 6.58);875.4;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;27/04/2025 20:00;190;Netherlands;Utrecht;(52.09, 5.11);789.5;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
kamasi washington;4;2025;29/04/2025 18:00;192;Greece;Athens;(37.98, 23.73);1465.2;57;{'contemporary', 'jazz', 'indie', 'soul', 'afrofuturism', 'saxophone'}
meshuggah;6;2025;07/06/2025 19:00;231;Netherlands;Maastricht;(50.86, 5.68);648.6;56;{'djent', 'swedish', 'groove', 'metal', 'progressive', 'nu', 'thrash', 'technical', 'alternative'}
periphery;2;2025;13/02/2025 19:00;117;United Kingdom;London;(51.59, -0.13);963.7;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;15/02/2025 19:00;119;Germany;Berlin;(52.48, 13.39);830.3;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;16/02/2025 19:00;120;Netherlands;Tilburg;(51.56, 5.09);736.6;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;18/02/2025 19:00;122;France;Paris;(48.87, 2.33);640.9;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;19/02/2025 19:00;123;Germany;Köln;(50.97, 7.02);626.7;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;20/02/2025 19:00;124;Germany;Frankfurt;(50.12, 8.75);511.6;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;22/02/2025 19:00;126;Germany;Munich;(48.13, 11.61);341.3;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
periphery;2;2025;23/02/2025 19:00;127;Germany;Hamburg;(53.55, 9.96);893.5;54;{'djent', 'metal', 'progressive', 'melodic', 'metalcore'}
sam gellaitry;10;2024;19/10/2024 22:00;0;United Kingdom;London;(51.55, -0.08);958.2;54;{'electronic', 'scottish', 'twitch', 'bass', 'future', 'vapor'}
leprous;1;2025;16/01/2025 18:30;89;Spain;Madrid;(40.42, -3.72);1197.2;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;1;2025;17/01/2025 18:30;90;France;Paris;(48.88, 2.3);643.3;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;1;2025;31/01/2025 19:00;104;United Kingdom;London;(51.55, -0.14);961.3;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;2;2025;01/02/2025 18:30;105;Poland;Warsaw;(52.22, 20.93);1133.4;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;2;2025;07/02/2025 18:30;111;Netherlands;Tilburg;(51.56, 5.09);736.6;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;2;2025;08/02/2025 20:00;112;Germany;Köln;(50.97, 7.01);626.9;52;{'progressive', 'norwegian', 'prog', 'metal'}
leprous;2;2025;15/02/2025 19:00;119;Norway;Oslo;(59.92, 10.75);1604.5;52;{'progressive', 'norwegian', 'prog', 'metal'}
chelsea wolfe;10;2024;25/10/2024 19:30;6;Ireland;Dublin;(53.34, -6.26);1415.1;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;10;2024;26/10/2024 19:00;7;United Kingdom;Belfast;(54.59, -5.93);1475.4;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;10;2024;27/10/2024 19:00;8;United Kingdom;Glasgow;(55.87, -4.29);1489.7;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;10;2024;28/10/2024 19:30;9;United Kingdom;Manchester;(53.46, -2.23);1208.4;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;10;2024;29/10/2024 19:00;10;United Kingdom;London;(51.53, -0.14);959.9;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;10;2024;31/10/2024 19:30;12;United Kingdom;Leeds;(53.8, -1.55);1202.2;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;01/11/2024 18:30;13;United Kingdom;Brighton;(50.82, -0.14);910.7;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;02/11/2024 18:00;14;United Kingdom;Bristol;(51.45, -2.58);1091.1;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;05/11/2024 20:30;17;France;Vallières-lès-metz;(49.13, 6.22);460.3;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;06/11/2024 20:00;18;Switzerland;Zürich;(47.34, 8.54);208.1;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;08/11/2024 19:00;20;Spain;Barcelona;(41.4, 2.19);731.0;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;09/11/2024 20:00;21;Spain;City Center;(40.42, -3.7);1195.8;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;12/11/2024 19:00;24;France;St Jean De Vedas;(43.57, 3.85);479.6;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
chelsea wolfe;11;2024;13/11/2024 20:00;25;Italy;Segrate;(45.46, 9.29);9.1;51;{'gaian', 'indie', 'sacramento', 'doom', 'pop', 'dark', 'doomgaze'}
animals as leaders;2;2025;25/02/2025 19:00;129;France;Paris;(48.88, 2.33);641.5;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;2;2025;26/02/2025 19:00;130;Belgium;Bruxelles;(50.88, 4.35);696.4;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;2;2025;27/02/2025 19:00;131;Germany;Hamburg;(53.55, 9.96);893.5;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;2;2025;28/02/2025 19:00;132;Denmark;Copenhagen;(55.66, 12.61);1151.6;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;01/03/2025 19:00;133;Germany;Berlin;(52.49, 13.42);832.1;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;02/03/2025 19:00;134;Germany;Leipzig;(51.32, 12.33);683.3;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;04/03/2025 19:00;136;Czech Republic;Prague;(50.09, 14.43);639.0;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;05/03/2025 19:00;137;Austria;Vienna;(48.17, 16.42);621.6;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;06/03/2025 19:00;138;Italy;Milan;(45.44, 9.2);10.3;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;07/03/2025 19:00;139;Switzerland;Zurich;(47.38, 8.53);212.6;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;09/03/2025 19:00;141;Germany;München;(48.13, 11.59);340.5;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;10/03/2025 19:00;142;Germany;Frankfurt Am Main;(50.14, 8.74);513.9;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;11/03/2025 19:00;143;Germany;Köln;(50.97, 7.01);626.9;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;12/03/2025 19:00;144;Netherlands;Tilburg;(51.56, 5.09);736.6;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;12/03/2025 19:00;144;Netherlands;Doorwerth;(51.98, 5.8);760.1;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;14/03/2025 19:00;146;United Kingdom;Manchester;(53.48, -2.25);1210.8;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
animals as leaders;3;2025;15/03/2025 19:00;147;United Kingdom;London;(51.54, -0.15);961.1;50;{'djent', 'jazz', 'metal', 'progressive', 'instrumental', 'rock', 'fusion'}
apparat;11;2024;29/11/2024 22:00;41;United Kingdom;North London;(51.55, -0.12);960.3;48;{'trip', 'pop', 'hop', 'glitch', 'electronica', 'ambient', 'indietronica'}
alcest;10;2024;21/10/2024 20:00;2;Croatia;Zagreb;(45.8, 15.97);525.9;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;10;2024;23/10/2024 18:30;4;Greece;Athina;(38.0, 23.72);1463.1;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;10;2024;24/10/2024 18:30;5;Greece;Thessaloniki;(40.63, 22.96);1241.3;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;10;2024;26/10/2024 21:00;7;Turkey;İstanbul;(41.04, 28.98);1673.8;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;10;2024;28/10/2024 18:30;9;Romania;București;(44.44, 26.06);1330.4;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;11;2024;01/11/2024 18:30;13;France;Strasbourg;(48.56, 7.77);354.6;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
alcest;11;2024;02/11/2024 18:30;14;Switzerland;Zürich;(47.38, 8.54);212.4;48;{'emotional', 'shoegaze', 'post-black', 'black', 'metal', 'atmospheric', 'blackgaze', 'post-metal', 'french'}
