Name;Country;Genre;Status;URL
Sabák;Costa Rica;Thrash/Groove Metal/Metalcore;Active;https://www.metal-archives.com/bands/Sab%C3%A1k/3540486959
Saban;Slovenia;Black Metal/Ambient;Split-up;https://www.metal-archives.com/bands/Saban/118034
Sabandija;Chile;Stoner Metal/Rock;Active;https://www.metal-archives.com/bands/Sabandija/3540520301
Sabaoth;United States;Death Metal;Split-up;https://www.metal-archives.com/bands/Sabaoth/119073
Sabaoth;Brazil;Melodic Heavy Metal;Split-up;https://www.metal-archives.com/bands/Sabaoth/3540276069
Sabaoth;Paraguay;Gothic/Black Metal;Split-up;https://www.metal-archives.com/bands/Sabaoth/9576
Sabaoth;Mexico;Atmospheric Black Metal;Unknown;https://www.metal-archives.com/bands/Sabaoth/3540450208
Sabaoth;Indonesia;"Death Metal/Grindcore (early); Brutal Death Metal (later)";Active;https://www.metal-archives.com/bands/Sabaoth/3540367575
Sabaothic Cherubim;United States;Death Metal/Grindcore;On hold;https://www.metal-archives.com/bands/Sabaothic_Cherubim/99101
Sabatan;Spain;Heavy Metal;Split-up;https://www.metal-archives.com/bands/Sabatan/459
Sabateur;United States;Heavy/Thrash Metal;Active;https://www.metal-archives.com/bands/Sabateur/3540395930
Sabathan;Bolivia;Black Metal;Active;https://www.metal-archives.com/bands/Sabathan/28709
Sabathan;Argentina;Death/Black Metal;Split-up;https://www.metal-archives.com/bands/Sabathan/63409
Sabathan;Mexico;Blackened Death Metal;Active;https://www.metal-archives.com/bands/Sabathan/122314
Sabathory;Czechia;Brutal Death Metal;Active;https://www.metal-archives.com/bands/Sabathory/68487
Sabatik;Ecuador;Black/Thrash Metal;Active;https://www.metal-archives.com/bands/Sabatik/3540415757
Sabaton;Sweden;Power Metal;Active;https://www.metal-archives.com/bands/Sabaton/484
Sabazios;Norway;Industrial Black Metal;Changed name;https://www.metal-archives.com/bands/Sabazios/3540282819
Sabazius;United Kingdom;Drone/Doom Metal;Active;https://www.metal-archives.com/bands/Sabazius/98160
Sabazz;Japan;Death/Thrash Metal;Active;https://www.metal-archives.com/bands/Sabazz/31309
Sàbba;United States;Stoner/Doom Metal;Active;https://www.metal-archives.com/bands/S%C3%A0bba/3540449996
Sabbagor;South Africa;Black/Death Metal/Crust;Unknown;https://www.metal-archives.com/bands/Sabbagor/3540332793
Sabbah Navahthani;Cyprus;Sludge/Doom Metal;Split-up;https://www.metal-archives.com/bands/Sabbah_Navahthani/102001
Sabbat;Japan;Black/Thrash Metal;Active;https://www.metal-archives.com/bands/Sabbat/580
Sabbat;United Kingdom;Thrash Metal;Split-up;https://www.metal-archives.com/bands/Sabbat/116
Sabbat Wolf;United Kingdom;Doom Metal;Active;https://www.metal-archives.com/bands/Sabbat_Wolf/3540504838
Sabbätage;United States;Blackened Death/Thrash Metal/Crossover;Active;https://www.metal-archives.com/bands/Sabb%C3%A4tage/3540542232
Sabbatar;United States;Heavy Metal;Active;https://www.metal-archives.com/bands/Sabbatar/3540548008
